iter	Passed	Remaining
0	1	100
1	1	92
2	2	84
3	3	75
4	3	75
5	4	73
6	5	71
7	6	69
8	6	69
9	7	68
10	8	68
11	9	67
12	10	67
13	10	67
14	11	66
15	12	65
16	13	65
17	14	65
18	15	64
19	15	63
20	16	62
21	17	61
22	18	60
23	18	59
24	19	58
25	20	57
26	21	57
27	21	56
28	22	55
29	23	54
30	24	54
31	25	53
32	26	53
33	27	53
34	28	52
35	28	51
36	29	50
37	30	50
38	31	49
39	32	48
40	33	47
41	34	46
42	34	46
43	35	45
44	36	44
45	37	43
46	37	42
47	38	42
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	33
59	48	32
60	49	31
61	50	30
62	51	29
63	51	29
64	52	28
65	53	27
66	54	26
67	55	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	62	20
75	63	20
76	64	19
77	65	18
78	66	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	72	11
86	73	10
87	73	10
88	74	9
89	75	8
90	76	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	81	2
97	82	1
98	83	0
99	84	0
