iter	Passed	Remaining
0	133	133826
1	135	67394
2	135	45133
3	136	33959
4	136	27255
5	137	22780
6	139	19743
7	139	17344
8	140	15470
9	141	13974
10	141	12745
11	142	11730
12	143	10862
13	144	10157
14	144	9509
15	145	8957
16	146	8456
17	146	8008
18	147	7609
19	147	7247
20	148	6927
21	149	6649
22	150	6389
23	151	6142
24	151	5912
25	153	5741
26	153	5542
27	155	5394
28	156	5238
29	157	5082
30	157	4932
31	158	4791
32	159	4659
33	159	4532
34	160	4413
35	160	4305
36	162	4226
37	162	4126
38	163	4030
39	164	3939
40	164	3852
41	165	3771
42	165	3692
43	166	3617
44	167	3548
45	167	3481
46	168	3414
47	169	3352
48	169	3294
49	170	3236
50	170	3181
51	171	3126
52	172	3074
53	174	3049
54	174	3002
55	175	2957
56	176	2914
57	176	2870
58	177	2829
59	177	2787
60	178	2748
61	179	2709
62	179	2671
63	180	2638
64	181	2605
65	181	2571
66	182	2537
67	182	2504
68	183	2473
69	183	2442
70	184	2413
71	185	2385
72	185	2359
73	186	2336
74	187	2312
75	188	2286
76	188	2262
77	189	2238
78	189	2214
79	190	2191
80	191	2168
81	192	2156
82	192	2131
83	193	2110
84	194	2090
85	194	2069
86	195	2049
87	195	2030
88	196	2011
89	197	1993
90	197	1977
91	198	1961
92	203	1983
93	204	1966
94	204	1950
95	205	1937
96	206	1920
97	206	1905
98	207	1889
99	208	1874
100	208	1859
101	209	1844
102	210	1830
103	211	1825
104	212	1811
105	213	1798
106	213	1785
107	214	1771
108	215	1758
109	215	1745
110	216	1732
111	217	1720
112	217	1708
113	218	1696
114	218	1684
115	219	1672
116	219	1660
117	220	1648
118	221	1637
119	221	1626
120	222	1614
121	222	1603
122	223	1594
123	224	1583
124	224	1573
125	225	1563
126	225	1552
127	226	1543
128	227	1533
129	227	1523
130	228	1513
131	228	1503
132	229	1497
133	230	1488
134	230	1479
135	231	1471
136	232	1462
137	232	1453
138	233	1444
139	233	1436
140	234	1427
141	234	1418
142	235	1411
143	236	1403
144	236	1395
145	237	1387
146	237	1380
147	238	1372
148	239	1365
149	239	1357
150	240	1350
151	240	1342
152	241	1335
153	241	1329
154	242	1322
155	243	1317
156	244	1310
157	244	1304
158	245	1297
159	245	1290
160	246	1283
161	246	1276
162	247	1270
163	248	1264
164	248	1259
165	249	1253
166	250	1247
167	250	1241
168	251	1236
169	251	1230
170	252	1224
171	253	1218
172	253	1212
173	254	1208
174	255	1203
175	256	1199
176	256	1194
177	257	1188
178	258	1183
179	258	1177
180	259	1172
181	259	1166
182	260	1161
183	261	1157
184	261	1152
185	262	1148
186	262	1143
187	263	1138
188	264	1133
189	264	1128
190	265	1123
191	265	1118
192	266	1113
193	267	1109
194	267	1105
195	268	1102
196	269	1098
197	270	1093
198	270	1089
199	271	1084
200	271	1080
201	272	1075
202	272	1071
203	273	1067
204	274	1063
205	274	1059
206	275	1055
207	276	1050
208	276	1046
209	277	1043
210	277	1039
211	278	1034
212	279	1031
213	279	1027
214	281	1026
215	281	1022
216	282	1018
217	282	1014
218	283	1010
219	283	1006
220	284	1002
221	284	998
222	285	995
223	286	992
224	287	990
225	288	987
226	288	983
227	289	980
228	290	976
229	290	973
230	291	969
231	291	966
232	292	963
233	293	960
234	294	957
235	294	954
236	295	950
237	295	947
238	296	944
239	297	940
240	297	937
241	298	934
242	299	932
243	299	929
244	300	926
245	301	923
246	301	920
247	302	917
248	302	913
249	303	910
250	304	907
251	305	905
252	305	902
253	306	899
254	306	896
255	307	893
256	307	889
257	308	886
258	308	883
259	309	880
260	310	877
261	310	875
262	311	873
263	312	870
264	312	867
265	313	865
266	314	862
267	314	859
268	315	856
269	315	853
270	316	850
271	316	847
272	317	845
273	318	843
274	319	842
275	319	839
276	320	836
277	321	834
278	321	831
279	322	828
280	322	826
281	323	824
282	324	821
283	325	821
284	326	818
285	326	816
286	327	813
287	328	811
288	328	808
289	329	806
290	329	803
291	330	801
292	332	801
293	332	799
294	333	796
295	333	794
296	334	791
297	335	789
298	335	786
299	336	785
300	337	783
301	337	780
302	338	778
303	339	776
304	339	774
305	340	771
306	340	769
307	341	766
308	341	764
309	342	762
310	343	760
311	343	758
312	344	756
313	345	754
314	345	752
315	346	749
316	346	747
317	347	745
318	348	743
319	348	741
320	349	739
321	349	736
322	350	735
323	351	733
324	352	731
325	352	729
326	353	726
327	353	724
328	354	722
329	355	720
330	355	719
331	356	716
332	357	715
333	357	713
334	358	711
335	359	709
336	359	707
337	360	705
338	361	703
339	361	702
340	362	700
341	363	698
342	363	696
343	364	694
344	365	692
345	365	691
346	366	689
347	366	687
348	367	685
349	368	683
350	368	681
351	369	680
352	370	678
353	370	676
354	371	675
355	372	673
356	372	671
357	373	670
358	374	668
359	374	666
360	376	666
361	377	664
362	377	662
363	378	660
364	378	659
365	379	657
366	380	655
367	380	653
368	381	652
369	382	651
370	383	649
371	383	647
372	384	646
373	385	644
374	385	642
375	386	641
376	387	640
377	387	638
378	388	636
379	389	634
380	389	633
381	390	631
382	391	630
383	391	628
384	393	627
385	393	626
386	394	624
387	394	623
388	395	621
389	396	620
390	397	618
391	397	616
392	398	615
393	399	614
394	400	612
395	400	611
396	401	610
397	402	608
398	403	607
399	403	605
400	404	604
401	405	602
402	406	601
403	406	600
404	407	598
405	407	596
406	408	595
407	409	593
408	409	592
409	410	590
410	410	588
411	411	587
412	412	586
413	413	584
414	414	584
415	415	582
416	415	581
417	416	579
418	416	578
419	417	576
420	418	575
421	418	573
422	419	572
423	419	570
424	420	568
425	421	567
426	421	565
427	422	564
428	422	562
429	423	561
430	424	560
431	424	558
432	425	557
433	426	555
434	426	554
435	427	552
436	428	551
437	428	549
438	429	548
439	430	547
440	430	546
441	431	544
442	432	543
443	432	541
444	433	540
445	434	539
446	434	537
447	435	536
448	436	535
449	437	534
450	437	532
451	438	531
452	438	529
453	439	528
454	439	526
455	440	525
456	441	524
457	442	523
458	442	521
459	443	520
460	444	520
461	445	518
462	446	517
463	446	516
464	447	514
465	447	513
466	448	511
467	449	510
468	449	509
469	450	507
470	451	507
471	452	505
472	452	504
473	453	502
474	453	501
475	454	500
476	455	499
477	455	497
478	456	496
479	457	495
480	458	494
481	458	492
482	459	491
483	460	491
484	461	489
485	461	488
486	462	487
487	463	485
488	463	484
489	464	483
490	465	482
491	465	480
492	466	479
493	467	478
494	467	477
495	468	476
496	469	474
497	469	473
498	470	471
499	470	470
500	471	469
501	471	468
502	472	466
503	473	465
504	473	464
505	474	463
506	475	461
507	475	460
508	476	459
509	476	458
510	477	456
511	478	455
512	479	454
513	479	453
514	480	452
515	480	451
516	481	449
517	482	448
518	482	447
519	483	446
520	483	444
521	484	443
522	485	442
523	485	441
524	486	440
525	487	438
526	487	437
527	488	436
528	488	435
529	489	434
530	490	432
531	490	431
532	491	430
533	492	429
534	492	428
535	493	426
536	493	425
537	494	424
538	494	423
539	495	422
540	496	420
541	496	419
542	497	418
543	498	417
544	498	416
545	499	415
546	500	414
547	501	413
548	501	412
549	502	411
550	503	410
551	505	409
552	505	408
553	506	407
554	507	406
555	508	406
556	509	405
557	511	404
558	512	404
559	513	403
560	513	402
561	514	400
562	514	399
563	515	398
564	516	398
565	518	397
566	518	396
567	519	395
568	520	394
569	521	393
570	521	392
571	522	390
572	523	390
573	524	389
574	524	387
575	525	386
576	526	385
577	526	384
578	527	383
579	527	382
580	528	381
581	529	380
582	530	379
583	531	378
584	531	377
585	532	376
586	533	375
587	533	374
588	534	373
589	535	372
590	536	371
591	537	370
592	537	369
593	538	367
594	538	366
595	539	365
596	540	365
597	541	364
598	542	363
599	543	362
600	544	361
601	545	360
602	546	359
603	546	358
604	547	357
605	548	356
606	549	355
607	549	354
608	550	353
609	551	352
610	552	351
611	553	350
612	553	349
613	555	348
614	556	348
615	556	347
616	557	346
617	558	345
618	559	344
619	559	343
620	560	342
621	561	341
622	562	340
623	563	339
624	563	338
625	564	337
626	565	336
627	566	335
628	566	334
629	568	333
630	568	332
631	569	331
632	570	330
633	570	329
634	571	328
635	572	327
636	572	326
637	573	325
638	574	324
639	575	323
640	576	322
641	577	322
642	578	321
643	579	320
644	580	319
645	581	318
646	581	317
647	582	316
648	583	315
649	584	314
650	585	313
651	586	312
652	586	311
653	587	310
654	588	309
655	588	308
656	589	307
657	590	306
658	590	305
659	591	304
660	592	303
661	593	302
662	593	301
663	594	300
664	595	299
665	595	298
666	597	298
667	597	297
668	598	296
669	599	295
670	600	294
671	601	293
672	601	292
673	602	291
674	602	290
675	603	289
676	604	288
677	605	287
678	606	286
679	606	285
680	607	284
681	608	283
682	609	283
683	610	282
684	611	281
685	612	280
686	613	279
687	614	278
688	614	277
689	616	276
690	617	275
691	618	275
692	618	274
693	619	273
694	620	272
695	621	271
696	621	270
697	622	269
698	623	268
699	624	267
700	624	266
701	625	265
702	626	264
703	627	263
704	628	262
705	629	262
706	630	261
707	631	260
708	631	259
709	632	258
710	633	257
711	633	256
712	634	255
713	635	254
714	636	253
715	637	252
716	637	251
717	638	250
718	639	249
719	640	248
720	642	248
721	643	247
722	644	246
723	645	245
724	645	244
725	646	243
726	647	243
727	648	242
728	649	241
729	650	240
730	651	239
731	652	238
732	652	237
733	653	236
734	654	235
735	655	235
736	656	234
737	656	233
738	657	232
739	658	231
740	658	230
741	659	229
742	660	228
743	661	227
744	662	226
745	662	225
746	663	224
747	664	223
748	664	222
749	665	221
750	666	221
751	667	220
752	668	219
753	669	218
754	670	217
755	671	216
756	671	215
757	672	214
758	673	213
759	674	212
760	675	212
761	675	211
762	676	210
763	677	209
764	677	208
765	678	207
766	679	206
767	681	205
768	682	204
769	682	203
770	683	202
771	684	202
772	684	201
773	685	200
774	686	199
775	687	198
776	688	197
777	689	196
778	689	195
779	690	194
780	691	193
781	691	192
782	692	191
783	693	191
784	694	190
785	695	189
786	696	188
787	696	187
788	697	186
789	697	185
790	698	184
791	699	183
792	700	182
793	701	181
794	702	181
795	702	180
796	703	179
797	703	178
798	704	177
799	705	176
800	706	175
801	707	174
802	707	173
803	708	172
804	708	171
805	709	170
806	710	169
807	710	168
808	711	168
809	712	167
810	713	166
811	714	165
812	714	164
813	715	163
814	716	162
815	716	161
816	717	160
817	718	159
818	719	159
819	720	158
820	720	157
821	721	156
822	722	155
823	722	154
824	724	153
825	725	152
826	726	151
827	726	150
828	727	150
829	727	149
830	728	148
831	729	147
832	729	146
833	730	145
834	731	144
835	732	143
836	732	142
837	733	141
838	733	140
839	734	139
840	735	138
841	735	138
842	737	137
843	737	136
844	738	135
845	739	134
846	739	133
847	740	132
848	741	131
849	741	130
850	742	129
851	743	129
852	744	128
853	745	127
854	745	126
855	746	125
856	747	124
857	748	123
858	749	122
859	749	122
860	750	121
861	751	120
862	752	119
863	752	118
864	753	117
865	754	116
866	754	115
867	755	114
868	756	113
869	757	113
870	758	112
871	758	111
872	759	110
873	760	109
874	760	108
875	761	107
876	762	106
877	762	106
878	763	105
879	764	104
880	765	103
881	765	102
882	766	101
883	767	100
884	767	99
885	768	98
886	769	98
887	770	97
888	771	96
889	771	95
890	772	94
891	772	93
892	773	92
893	774	91
894	774	90
895	775	90
896	776	89
897	777	88
898	777	87
899	778	86
900	779	85
901	779	84
902	780	83
903	781	83
904	782	82
905	783	81
906	784	80
907	784	79
908	785	78
909	785	77
910	786	76
911	787	75
912	788	75
913	789	74
914	789	73
915	790	72
916	791	71
917	791	70
918	792	69
919	792	68
920	793	68
921	794	67
922	795	66
923	795	65
924	796	64
925	796	63
926	797	62
927	797	61
928	798	61
929	799	60
930	799	59
931	800	58
932	801	57
933	801	56
934	802	55
935	803	54
936	803	54
937	804	53
938	804	52
939	805	51
940	806	50
941	806	49
942	807	48
943	808	47
944	808	47
945	809	46
946	809	45
947	810	44
948	810	43
949	811	42
950	812	41
951	812	40
952	813	40
953	814	39
954	814	38
955	815	37
956	815	36
957	816	35
958	817	34
959	817	34
960	818	33
961	819	32
962	819	31
963	820	30
964	820	29
965	821	28
966	821	28
967	822	27
968	823	26
969	823	25
970	824	24
971	825	23
972	825	22
973	826	22
974	827	21
975	827	20
976	828	19
977	828	18
978	829	17
979	830	16
980	830	16
981	831	15
982	832	14
983	832	13
984	833	12
985	833	11
986	834	10
987	835	10
988	835	9
989	836	8
990	836	7
991	837	6
992	838	5
993	838	5
994	839	4
995	840	3
996	840	2
997	841	1
998	842	0
999	842	0
